"","ageph","postal","freq","agecar","sexph","fuel","split","use","fleet","sportc","cover","power","claimAm","long","lat","logclaimAm","group_ageph"
"265",34,9300,1,"6-10","Female","Petrol","Monthly","Private","No","No","MTPL+","66-110",493.48163977,4.03635389965774,50.9417482183295,6.20148565406797,"[33,37)"
"273",57,9800,1,"6-10","Female","Petrol","Once","Professional","No","No","MTPL","<66",152.55367515,3.50541882652353,50.9902836582006,5.02751650231791,"[56,65)"
"281",41,1050,1,">10","Female","Petrol","Once","Private","No","No","MTPL","66-110",64.625841908,4.36698780528209,50.8223368893053,4.16861436033368,"[37,42)"
"283",38,1070,1,">10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",1426.3793415,4.28236829549573,50.8289657408843,7.26289458347995,"[37,42)"
"300",55,1640,1,"2-5","Female","Gasoil","Monthly","Private","No","No","MTPL+++","66-110",894.44941609,4.36279842623362,50.744416767182,6.79620835142243,"[50,56)"
"308",41,1840,1,"2-5","Female","Gasoil","Once","Professional","Yes","No","MTPL+++","66-110",64.625841908,4.26609229647044,51.0107323856196,4.16861436033368,"[37,42)"
"323",43,2200,4,"6-10","Female","Petrol","Twice","Private","No","No","MTPL","66-110",802.62965451,4.81702352933596,51.1637876551018,6.68789340520657,"[42,46)"
"326",59,2360,1,"2-5","Female","Gasoil","Once","Private","No","No","MTPL",">110",1426.3793415,4.99384566265974,51.3207685758252,7.26289458347995,"[56,65)"
"333",37,2830,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL","66-110",164.05593469,4.35806978972652,51.0539689444254,5.10020743485762,"[37,42)"
"344",36,2970,1,"0-1","Female","Petrol","Once","Private","No","No","MTPL+++","66-110",1075.1390063,4.57114029849079,51.2562280821625,6.98020524038823,"[33,37)"
"348",39,3080,1,"2-5","Female","Gasoil","Once","Private","No","No","MTPL+++","66-110",495.78704955,4.51384064461051,50.8215103388942,6.20614649894934,"[37,42)"
"381",61,6000,2,"6-10","Female","Petrol","Thrice","Private","No","No","MTPL","66-110",222.98022553,4.4383532510193,50.4167838476249,5.40708309277492,"[56,65)"
"382",66,6200,1,"2-5","Female","Petrol","Twice","Private","No","No","MTPL+++","66-110",145.01771199,4.51150406128235,50.3970730648991,4.97685588661584,"[65,100]"
"389",35,7090,1,"6-10","Female","Gasoil","Monthly","Private","No","No","MTPL","66-110",10287.581278,4.13204101220912,50.6159904125073,9.23869274561025,"[33,37)"
"397",45,7330,1,"2-5","Female","Petrol","Monthly","Private","No","No","MTPL+","66-110",70.153867511,3.80693495541922,50.4506485752801,4.25069093704586,"[42,46)"
"402",28,7600,1,"6-10","Female","Petrol","Twice","Private","No","No","MTPL","66-110",625.16268013,3.58144026632884,50.5121310590996,6.4380119040753,"[25,29)"
"403",37,7700,2,"6-10","Female","Petrol","Once","Private","No","No","MTPL","66-110",1499.5327207,3.21269178912139,50.7430600063497,7.31290881902468,"[37,42)"
"420",35,8790,1,"6-10","Female","Gasoil","Thrice","Private","No","No","MTPL",">110",1611.307911,3.41608721948592,50.8785081096418,7.38480149526771,"[33,37)"
"435",41,9940,1,">10","Female","Gasoil","Once","Private","No","No","MTPL+","<66",64.625841908,3.69744829163471,51.1433346177609,4.16861436033368,"[37,42)"
"438",54,1180,2,"0-1","Female","Petrol","Monthly","Private","No","No","MTPL","66-110",3073.6813924,4.35081703057296,50.7896898188678,8.03063127279329,"[50,56)"
"460",34,6000,1,"0-1","Female","Petrol","Once","Private","No","No","MTPL+++","66-110",150.37221213,4.4383532510193,50.4167838476249,5.01311363467161,"[33,37)"
"461",49,6000,1,">10","Female","Gasoil","Thrice","Private","No","No","MTPL","<66",1491.0051835,4.4383532510193,50.4167838476249,7.30720579128452,"[46,50)"
"462",40,6140,1,"2-5","Female","Gasoil","Thrice","Private","No","No","MTPL+","66-110",185.96972228,4.31208557050009,50.4116702510432,5.22558387702168,"[37,42)"
"479",59,8300,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL","66-110",82.498965045,3.31605817935192,51.3331353752976,4.41278574835286,"[56,65)"
"496",33,1070,1,">10","Female","Petrol","Monthly","Private","No","No","MTPL","66-110",65.295154425,4.28236829549573,50.8289657408843,4.17891782870518,"[33,37)"
"500",57,1160,2,">10","Female","Petrol","Monthly","Private","No","No","MTPL","66-110",1681.7096721,4.42757951558676,50.8102713392462,7.42756621689469,"[56,65)"
"505",51,1180,1,">10","Female","Petrol","Monthly","Private","No","No","MTPL","66-110",2114.5317663,4.35081703057296,50.7896898188678,7.65658867987844,"[50,56)"
"518",57,1820,1,"2-5","Female","Gasoil","Monthly","Professional","No","No","MTPL+++","66-110",61.874223783,4.48867761538407,50.9210668701457,4.12510367588895,"[56,65)"
"528",51,2000,1,">10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",3021.8716457,4.38841821750176,51.215508128703,8.01363166863484,"[50,56)"
"545",39,2640,1,"6-10","Female","Petrol","Monthly","Private","No","No","MTPL","66-110",74.814265777,4.45033782184932,51.1745790054527,4.31500858573974,"[37,42)"
"546",45,2650,1,">10","Female","Gasoil","Once","Private","No","No","MTPL","<66",68.691295715,4.42247863625642,51.1562143595755,4.22962249127397,"[42,46)"
"555",27,3000,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL","66-110",875.53514015,4.69711028609935,50.8758536071319,6.77483528815629,"[25,29)"
"559",47,3140,1,"2-5","Female","Gasoil","Once","Private","No","No","MTPL+++","66-110",137.97753589,4.64370165975895,51.0050184167418,4.92709088850075,"[46,50)"
"563",38,3600,1,"6-10","Female","Gasoil","Thrice","Private","No","No","MTPL+++","<66",495.78704955,5.48452019846175,50.967164084732,6.20614649894934,"[37,42)"
"567",52,3740,1,">10","Female","Gasoil","Thrice","Private","No","No","MTPL","<66",485.7969405,5.52192182171846,50.8719280999706,6.18579071868904,"[50,56)"
"570",61,3920,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL","<66",456.66945134,5.29162888801784,51.2255902100083,6.12395982796029,"[56,65)"
"589",36,5140,1,"2-5","Female","Petrol","Thrice","Private","No","No","MTPL+++","66-110",1426.3793415,4.59206800976722,50.5264580966398,7.26289458347995,"[33,37)"
"602",45,6000,1,">10","Female","Petrol","Thrice","Private","No","No","MTPL","66-110",1426.3793415,4.4383532510193,50.4167838476249,7.26289458347995,"[42,46)"
"627",69,8000,1,"2-5","Female","Petrol","Once","Private","No","No","MTPL","66-110",6445.2316441,3.20265056930382,51.2336587807216,8.77109585640312,"[65,100]"
"631",25,8520,1,"6-10","Female","Petrol","Twice","Private","No","No","MTPL","66-110",95.240692218,3.26101793205734,50.8601650662625,4.55640728973589,"[25,29)"
"640",34,9000,1,">10","Female","Petrol","Once","Private","No","No","MTPL","66-110",1426.3793415,3.7078589016912,51.058541172233,7.26289458347995,"[33,37)"
"642",27,9000,1,">10","Female","Petrol","Thrice","Private","No","No","MTPL","66-110",619.73381193,3.7078589016912,51.058541172233,6.42929005025145,"[25,29)"
"644",34,9080,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL","<66",247.89352477,3.84674087084718,51.1029752026388,5.51299931836922,"[33,37)"
"646",72,9400,1,"2-5","Female","Gasoil","Once","Private","No","No","MTPL","66-110",65.096839605,3.9920638209427,50.8234095122427,4.1758760012619,"[65,100]"
"656",41,1000,1,"6-10","Female","Petrol","Monthly","Private","No","No","MTPL","66-110",62.419589538,4.35648858579462,50.8448418225847,4.13387916101198,"[37,42)"
"661",27,1050,1,">10","Female","Petrol","Thrice","Private","No","No","MTPL","<66",347.37319626,4.36698780528209,50.8223368893053,5.85039969556268,"[25,29)"
"662",55,1070,1,">10","Female","Gasoil","Once","Private","No","No","MTPL","<66",1491.0051835,4.28236829549573,50.8289657408843,7.30720579128452,"[50,56)"
"670",66,1150,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL","66-110",145.01771199,4.43225411401803,50.8312367151221,4.97685588661584,"[65,100]"
"675",48,1180,1,"6-10","Female","Petrol","Twice","Private","No","No","MTPL","66-110",1426.3793415,4.35081703057296,50.7896898188678,7.26289458347995,"[46,50)"
"708",20,1480,1,"6-10","Female","Petrol","Twice","Private","No","No","MTPL+","66-110",1426.3793415,4.17980537326721,50.6900776832912,7.26289458347995,"[0,25)"
"714",40,1650,1,"6-10","Female","Petrol","Monthly","Private","No","No","MTPL+","<66",757.93445199,4.3022202782442,50.7665304689135,6.63059690695597,"[37,42)"
"721",70,1730,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL","66-110",207.1398293,4.19032802994598,50.9108264932304,5.33339406908006,"[65,100]"
"728",36,1850,1,">10","Female","Petrol","Monthly","Private","No","No","MTPL","<66",65.567837303,4.37431901237712,50.9405747540772,4.1830852907058,"[33,37)"
"729",50,1850,1,"2-5","Female","Petrol","Monthly","Private","No","No","MTPL","66-110",396.25779935,4.37431901237712,50.9405747540772,5.98206500789999,"[50,56)"
"736",23,1970,1,">10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",321.12127199,4.48215005879421,50.8429939550345,5.77181884614507,"[0,25)"
"747",53,2000,1,"2-5","Female","Petrol","Once","Private","No","No","MTPL","66-110",1133.840193,4.38841821750176,51.215508128703,7.03336555107666,"[50,56)"
"780",57,2480,1,"6-10","Female","Petrol","Monthly","Private","No","No","MTPL","66-110",1611.307911,5.11197662716974,51.2415451990121,7.38480149526771,"[56,65)"
"781",44,2520,1,">10","Female","Gasoil","Once","Private","No","No","MTPL","<66",359.94139797,4.58004791637477,51.1928742061227,5.88594123478283,"[42,46)"
"786",48,2590,1,">10","Female","Petrol","Twice","Private","No","No","MTPL","66-110",719.16390472,4.64523618068584,51.1072896333659,6.57808929380006,"[46,50)"
"791",32,2640,2,"2-5","Female","Petrol","Thrice","Private","No","No","MTPL+","66-110",300.74442425,4.45033782184932,51.1745790054527,5.70626081519831,"[29,33)"
"823",41,3000,1,"2-5","Female","Gasoil","Once","Private","No","No","MTPL+++","66-110",879.45185784,4.69711028609935,50.8758536071319,6.77929882457823,"[37,42)"
"855",34,3540,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL","<66",904.43952514,5.16710306419908,50.9371067023575,6.80731544261118,"[33,37)"
"869",35,3740,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL+","<66",1118.5203731,5.52192182171846,50.8719280999706,7.01976199542679,"[33,37)"
"878",74,4000,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL+","66-110",515.42021671,5.55794515210474,50.6472499713739,6.24498252273031,"[65,100]"
"880",44,4000,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL+","<66",130.78862367,5.55794515210474,50.6472499713739,4.87358246024055,"[42,46)"
"884",41,4000,1,"6-10","Female","Gasoil","Thrice","Private","No","No","MTPL","<66",64.625841908,5.55794515210474,50.6472499713739,4.16861436033368,"[37,42)"
"886",47,4040,1,"6-10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",110.36219723,5.61386402329344,50.6794631627318,4.70376765881019,"[46,50)"
"887",50,4040,1,">10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",575.28650294,5.61386402329344,50.6794631627318,6.35486818268668,"[50,56)"
"914",32,4470,1,"6-10","Female","Gasoil","Monthly","Private","No","No","MTPL","<66",70.376971683,5.34990962660663,50.5967540101845,4.25386610287734,"[29,33)"
"921",43,4530,1,"2-5","Female","Gasoil","Thrice","Professional","No","No","MTPL+++","66-110",1426.3793415,5.23206163917657,50.593412282426,7.26289458347995,"[42,46)"
"928",30,4690,1,"2-5","Female","Gasoil","Monthly","Private","No","No","MTPL+","66-110",95.984372792,5.6000490957819,50.7656990088237,4.56418539480051,"[29,33)"
"950",41,5000,1,"2-5","Female","Petrol","Once","Private","No","No","MTPL+","66-110",407477.63381,4.8594592952501,50.4614444975032,12.9177413238009,"[37,42)"
"962",45,5190,1,">10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",1426.3793415,4.66580571523311,50.4717078649767,7.26289458347995,"[42,46)"
"970",56,5340,1,">10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",3162.2289594,5.04267807985888,50.4223874643463,8.05903242482538,"[56,65)"
"983",68,6000,1,">10","Female","Petrol","Once","Private","Yes","No","MTPL+","<66",145.01771199,4.4383532510193,50.4167838476249,4.97685588661584,"[65,100]"
"984",56,6000,1,"2-5","Female","Gasoil","Thrice","Private","No","No","MTPL+","66-110",150.37221213,4.4383532510193,50.4167838476249,5.01311363467161,"[56,65)"
"1008",41,6200,1,">10","Female","Petrol","Monthly","Private","No","No","MTPL","<66",74.665529662,4.51150406128235,50.3970730648991,4.31301853532992,"[37,42)"
"1023",75,6230,1,">10","Female","Gasoil","Once","Private","No","No","MTPL","<66",644.52316441,4.36210556157681,50.5142610114756,6.46851076340907,"[65,100]"
"1043",46,6900,1,">10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",64.625841908,5.33301748132742,50.2092574542014,4.16861436033368,"[46,50)"
"1050",50,7000,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL+","<66",143.03456379,3.95800996174605,50.456351410773,4.96308630587918,"[50,56)"
"1059",25,7060,1,">10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",1885.2798346,4.03739830575778,50.5905346937175,7.5418315422327,"[25,29)"
"1061",48,7080,1,">10","Female","Gasoil","Monthly","Private","No","No","MTPL","<66",749.87791244,3.87599208892839,50.3900658110643,6.61991040986636,"[46,50)"
"1063",23,7090,1,"6-10","Female","Petrol","Thrice","Private","No","No","MTPL+","66-110",3021.8716457,4.13204101220912,50.6159904125073,8.01363166863484,"[0,25)"
"1068",37,7100,1,"6-10","Female","Gasoil","Twice","Professional","No","No","MTPL+","<66",602.9018416,4.16727576894823,50.4673715457051,6.40175440006028,"[37,42)"
"1072",47,7140,1,">10","Female","Petrol","Twice","Private","No","No","MTPL","<66",3051.6932367,4.22552550131867,50.4567074181848,8.02345187513116,"[46,50)"
"1087",58,7330,1,"6-10","Female","Petrol","Twice","Private","No","No","MTPL","66-110",145.01771199,3.80693495541922,50.4506485752801,4.97685588661584,"[56,65)"
"1092",21,7350,1,">10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",872.13899886,3.70332443369854,50.4358655646687,6.77094881356816,"[0,25)"
"1105",41,7500,1,">10","Female","Petrol","Twice","Private","No","No","MTPL","66-110",1498.8881975,3.37706137907174,50.5919722372652,7.31247891059787,"[37,42)"
"1113",49,7640,1,"6-10","Female","Petrol","Twice","Private","No","No","MTPL+","66-110",201.19038471,3.46286895249361,50.552035300018,5.30425164737189,"[46,50)"
"1131",38,7860,1,"6-10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",1595.4923041,3.81682377252028,50.7078823189901,7.37493762220306,"[37,42)"
"1160",26,8540,1,">10","Female","Petrol","Twice","Private","No","No","MTPL","<66",20203.322269,3.35597812732191,50.8423941047604,9.91360233862817,"[25,29)"
"1192",43,8940,1,"6-10","Female","Petrol","Once","Private","Yes","No","MTPL+","<66",131.97851259,3.04585802044121,50.8101748358615,4.88263912592662,"[42,46)"
"1194",28,8970,1,">10","Female","Gasoil","Once","Private","No","No","MTPL","<66",876.77460777,2.72081216434414,50.8468674729881,6.77624995565807,"[25,29)"
"1202",30,9000,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL","<66",1426.3793415,3.7078589016912,51.058541172233,7.26289458347995,"[29,33)"
"1205",25,9000,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL","<66",97.496523293,3.7078589016912,51.058541172233,4.57981671883469,"[25,29)"
"1217",42,9200,1,">10","Female","Gasoil","Monthly","Private","No","No","MTPL","<66",987.53343464,4.08039060107805,51.0276765618446,6.8952103540654,"[42,46)"
"1238",44,9660,1,">10","Female","Gasoil","Once","Private","No","No","MTPL","<66",74.987791244,3.74450042116612,50.7987371639935,4.31732531687232,"[42,46)"
"1240",40,9700,1,"2-5","Female","Gasoil","Monthly","Private","No","No","MTPL+++","66-110",518.89072606,3.61035321921303,50.853308833438,6.25169331390718,"[37,42)"
"1243",49,9790,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL","<66",64.625841908,3.51729897764728,50.8483596354865,4.16861436033368,"[46,50)"
"1255",42,9890,1,"2-5","Female","Petrol","Once","Professional","Yes","No","MTPL","66-110",6705.4702664,3.67531768688057,50.9289514572858,8.81067892993044,"[42,46)"
"1266",26,1050,1,">10","Female","Petrol","Monthly","Private","No","No","MTPL","66-110",1874.967464,4.36698780528209,50.8223368893053,7.53634658572062,"[25,29)"
"1282",66,1200,1,"2-5","Female","Petrol","Monthly","Private","No","No","MTPL+++","<66",9915.7409909,4.42080965022475,50.8479827493696,9.20187877249325,"[65,100]"
"1287",30,1330,1,">10","Female","Petrol","Twice","Private","No","No","MTPL+++","<66",64.625841908,4.51746249020782,50.7122712636125,4.16861436033368,"[29,33)"
"1297",40,1640,1,"2-5","Female","Gasoil","Monthly","Private","No","No","MTPL+++","<66",735.72319217,4.36279842623362,50.744416767182,6.60085395039133,"[37,42)"
"1314",45,2000,1,"2-5","Female","Petrol","Monthly","Private","No","No","MTPL+++","<66",70.376971683,4.38841821750176,51.215508128703,4.25386610287734,"[42,46)"
"1332",49,2500,1,"2-5","Female","Petrol","Once","Private","No","No","MTPL+","<66",416.63464709,4.56316135927208,51.1184547699808,6.03220969169136,"[46,50)"
"1337",60,2800,1,"2-5","Female","Petrol","Thrice","Private","No","No","MTPL","<66",1426.3793415,4.4541246531468,51.0351936024316,7.26289458347995,"[56,65)"
"1343",38,2845,1,"0-1","Female","Petrol","Monthly","Professional","No","No","MTPL","<66",1611.307911,4.32524205704131,51.1072617440338,7.38480149526771,"[37,42)"
"1344",27,2850,1,"2-5","Female","Petrol","Monthly","Private","No","No","MTPL+","66-110",70.624865208,4.36259211962824,51.093595663808,4.25738228090549,"[25,29)"
"1356",40,2960,1,"0-1","Female","Petrol","Thrice","Private","No","No","MTPL+++","66-110",2247.2043808,4.61775097678963,51.3359679897978,7.71744222523634,"[37,42)"
"1357",40,2960,1,"2-5","Female","Petrol","Thrice","Private","No","No","MTPL+++","66-110",1426.3793415,4.61775097678963,51.3359679897978,7.26289458347995,"[37,42)"
"1365",43,3070,1,"6-10","Female","Petrol","Twice","Private","No","No","MTPL+","66-110",212.99011649,4.52719086300944,50.8846672260596,5.36124576317745,"[42,46)"
"1391",41,3950,1,">10","Female","Petrol","Once","Private","No","No","MTPL",">110",67.079987804,5.55327597937498,51.1869064641667,4.20588575514223,"[37,42)"
"1441",43,6000,1,"0-1","Female","Gasoil","Twice","Private","No","No","MTPL","<66",1093.5079165,4.4383532510193,50.4167838476249,6.99714607968824,"[42,46)"
"1443",50,6000,1,">10","Female","Gasoil","Thrice","Private","No","No","MTPL","<66",1133.5675101,4.4383532510193,50.4167838476249,7.03312502715064,"[50,56)"
"1449",74,6180,1,"2-5","Female","Petrol","Twice","Private","No","No","MTPL+","<66",6997.6871534,4.36150371786195,50.4614535256081,8.853334966784,"[65,100]"
"1452",39,6240,1,">10","Female","Petrol","Twice","Private","No","Yes","MTPL","66-110",371.84028716,4.53635373437469,50.4343388341818,5.91846442649084,"[37,42)"
"1454",43,6600,1,"2-5","Female","Petrol","Once","Professional","No","No","MTPL+++","66-110",3123.731095,5.75066298317852,50.0158676112014,8.04678343011004,"[42,46)"
"1456",23,6700,1,"2-5","Female","Petrol","Twice","Private","No","No","MTPL+","66-110",992.71440931,5.75804120882145,49.6774376097942,6.90044301876181,"[0,25)"
"1477",46,7080,1,">10","Female","Petrol","Monthly","Private","No","No","MTPL","66-110",65.44389054,3.87599208892839,50.3900658110643,4.18119314254441,"[46,50)"
"1480",46,7080,1,"2-5","Female","Gasoil","Once","Private","No","No","MTPL","<66",163.41141153,3.87599208892839,50.3900658110643,5.09627101799224,"[46,50)"
"1488",32,7300,1,"2-5","Female","Petrol","Once","Private","No","No","MTPL+","<66",237.58115414,3.77824668279185,50.4290655641455,5.47050926675009,"[29,33)"
"1489",77,7330,1,"0-1","Female","Petrol","Twice","Private","No","No","MTPL+++","<66",1426.3793415,3.80693495541922,50.4506485752801,7.26289458347995,"[65,100]"
"1513",33,8300,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL","66-110",711.05778646,3.31605817935192,51.3331353752976,6.56675370140919,"[33,37)"
"1531",44,8530,1,"2-5","Female","Petrol","Twice","Private","No","No","MTPL","<66",1381.8080858,3.30713395061992,50.8433709564197,7.23114812768036,"[42,46)"
"1538",24,8580,1,">10","Female","Petrol","Once","Private","No","No","MTPL","<66",2602.8820101,3.43773670092896,50.7776147376902,7.86437457553846,"[0,25)"
"1540",33,8620,1,"2-5","Female","Petrol","Twice","Private","No","No","MTPL+","<66",309.76774856,2.75665851558313,51.1233706518073,5.73582281849642,"[33,37)"
"1549",23,8900,1,"2-5","Female","Petrol","Thrice","Private","No","No","MTPL+++","66-110",718.12275192,2.86091858557072,50.8496371004073,6.57664051811248,"[0,25)"
"1551",69,8930,1,">10","Female","Petrol","Twice","Private","No","No","MTPL","<66",402.2320333,3.14404123964595,50.7925066291024,5.99702911936843,"[65,100]"
"1561",42,9000,1,">10","Female","Petrol","Once","Private","No","Yes","MTPL","<66",1265.7939162,3.7078589016912,51.058541172233,7.14345480604114,"[42,46)"
"1573",35,9220,1,"0-1","Female","Petrol","Once","Private","No","No","MTPL","66-110",6964.4446317,4.12891518328294,51.0782070300526,8.8485731460211,"[33,37)"
"1578",22,9400,1,"2-5","Female","Petrol","Twice","Private","No","No","MTPL","<66",56.693249116,3.9920638209427,50.8234095122427,4.03765514043524,"[0,25)"
"1579",66,9420,1,"0-1","Female","Petrol","Once","Private","No","No","MTPL+","<66",150.37221213,3.94137785158413,50.9216122369638,5.01311363467161,"[65,100]"
"1580",39,9420,1,">10","Female","Petrol","Once","Private","No","No","MTPL","<66",1983.1234088,3.94137785158413,50.9216122369638,7.59242835996714,"[37,42)"
"1587",24,9600,1,"6-10","Female","Petrol","Once","Private","No","Yes","MTPL","66-110",224.21969316,3.59685030024239,50.7496565854546,5.41262634424712,"[0,25)"
"1605",79,1400,1,">10","Female","Petrol","Twice","Private","No","No","MTPL",">110",268.76615956,4.31374250621725,50.5915115775348,5.59384170622957,"[65,100]"
