"","ageph","postal","freq","agecar","sexph","fuel","split","use","fleet","sportc","cover","power","long","lat","geo","agephGR","claimAm"
"87",42,1970,1,"2-5","Female","Petrol","Monthly","Private","No","No","MTPL+++","66-110",4.48214982178839,50.8429942850942,"[0.27,0.36]","[38,51)",70.798390675
"91",27,2000,1,"6-10","Female","Petrol","Monthly","Private","No","No","MTPL","<66",4.38841775874899,51.2155085462307,"[-0.0057,0.053)","[26,29)",1189.8889189
"94",66,2000,1,"2-5","Female","Petrol","Once","Private","Yes","No","MTPL+","66-110",4.38841775874899,51.2155085462307,"[-0.0057,0.053)","[63,73)",147.59580465
"99",31,2000,2,">10","Female","Petrol","Thrice","Private","No","No","MTPL","66-110",4.38841775874899,51.2155085462307,"[-0.0057,0.053)","[29,32)",3172.2438578
"113",35,2650,2,"2-5","Female","Petrol","Once","Private","No","No","MTPL+","66-110",4.42247821890145,51.1562147668561,"[-0.0057,0.053)","[35,38)",3718.1053994
"138",39,3120,1,"2-5","Female","Petrol","Once","Private","No","No","MTPL","66-110",4.69876470187158,50.9941119639176,"[-0.12,-0.065)","[38,51)",1924.7692731
"149",46,3700,1,">10","Female","Petrol","Twice","Private","No","No","MTPL","66-110",5.45412222930411,50.7717839377168,"[-0.0057,0.053)","[38,51)",1400.4001001
"159",45,4100,1,"6-10","Female","Petrol","Twice","Private","No","No","MTPL","<66",5.50186115381436,50.5826294520542,"[-0.0057,0.053)","[38,51)",64.625841908
"160",38,4100,1,"6-10","Female","Petrol","Twice","Private","No","Yes","MTPL","66-110",5.50186115381436,50.5826294520542,"[-0.0057,0.053)","[38,51)",236.21773976
"193",31,6000,1,"6-10","Female","Petrol","Thrice","Private","No","No","MTPL","66-110",4.43835321997811,50.4167840517472,"[-0.065,-0.0057)","[29,32)",8530.6855
"200",36,6660,1,"2-5","Female","Gasoil","Monthly","Private","No","No","MTPL+","66-110",5.69947840990895,50.1481221258849,"[-0.34,-0.24)","[35,38)",70.376971683
"201",51,6760,1,"2-5","Female","Petrol","Monthly","Private","No","No","MTPL+","66-110",5.57242623887859,49.5798040978677,"[-0.47,-0.34)","[51,55)",128.08658425
"204",24,6900,1,"2-5","Female","Petrol","Thrice","Private","No","No","MTPL+",">110",5.33301779302287,50.2092577832771,"[-0.24,-0.18)","[17,26)",1601.9871145
"206",25,7000,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL","<66",3.95800977971852,50.4563515240065,"[-0.065,-0.0057)","[17,26)",64.625841908
"215",43,7170,1,"6-10","Female","Petrol","Thrice","Private","No","No","MTPL","66-110",4.22737900719555,50.4937686587172,"[-0.0057,0.053)","[38,51)",64.625841908
"216",34,7180,1,"6-10","Female","Petrol","Monthly","Private","No","No","MTPL+","66-110",4.25788693754116,50.5263584773635,"[0.053,0.12)","[32,35)",764.4540517
"243",19,8790,1,"2-5","Female","Petrol","Once","Private","No","No","MTPL+++","66-110",3.41608665774548,50.8785082207821,"[-0.18,-0.12)","[17,26)",795.36637423
"244",22,8790,1,">10","Female","Petrol","Twice","Private","No","No","MTPL","66-110",3.41608665774548,50.8785082207821,"[-0.18,-0.12)","[17,26)",145.01771199
"265",34,9300,1,"6-10","Female","Petrol","Monthly","Private","No","No","MTPL+","66-110",4.03635348191886,50.9417484826891,"[-0.0057,0.053)","[32,35)",493.48163977
"281",41,1050,1,">10","Female","Petrol","Once","Private","No","No","MTPL","66-110",4.36698754585594,50.8223371896674,"[0.27,0.36]","[38,51)",64.625841908
"283",38,1070,1,">10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",4.28236800836164,50.828966025416,"[0.27,0.36]","[38,51)",1426.3793415
"300",55,1640,1,"2-5","Female","Gasoil","Monthly","Private","No","No","MTPL+++","66-110",4.36279820605473,50.7444170449262,"[0.27,0.36]","[55,59)",894.44941609
"308",41,1840,1,"2-5","Female","Gasoil","Once","Professional","Yes","No","MTPL+++","66-110",4.26609190918735,51.0107327182937,"[0.12,0.19)","[38,51)",64.625841908
"323",43,2200,4,"6-10","Female","Petrol","Twice","Private","No","No","MTPL","66-110",4.81702322672912,51.1637881452625,"[-0.24,-0.18)","[38,51)",802.62965451
"326",59,2360,1,"2-5","Female","Gasoil","Once","Private","No","No","MTPL",">110",4.99384533430006,51.3207691473603,"[-0.24,-0.18)","[59,63)",1426.3793415
"344",36,2970,1,"0-1","Female","Petrol","Once","Private","No","No","MTPL+++","66-110",4.57113987380847,51.256228549371,"[-0.065,-0.0057)","[35,38)",1075.1390063
"402",28,7600,1,"6-10","Female","Petrol","Twice","Private","No","No","MTPL","66-110",3.58143995207973,50.5121311053702,"[-0.12,-0.065)","[26,29)",625.16268013
"403",37,7700,2,"6-10","Female","Petrol","Once","Private","No","No","MTPL","66-110",3.21269124564125,50.7430600337696,"[-0.24,-0.18)","[35,38)",1499.5327207
"412",43,8500,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL","66-110",3.26599388353309,50.815477076916,"[-0.24,-0.18)","[38,51)",8.1804863175
"420",35,8790,1,"6-10","Female","Gasoil","Thrice","Private","No","No","MTPL",">110",3.41608665774548,50.8785082207821,"[-0.18,-0.12)","[35,38)",1611.307911
"424",48,8930,1,"2-5","Female","Petrol","Once","Private","No","No","MTPL","66-110",3.1440406490295,50.7925066548079,"[-0.24,-0.18)","[38,51)",358.45403682
"435",41,9940,1,">10","Female","Gasoil","Once","Private","No","No","MTPL+","<66",3.69744766503363,51.1433348670352,"[0.053,0.12)","[38,51)",64.625841908
"438",54,1180,2,"0-1","Female","Petrol","Monthly","Private","No","No","MTPL","66-110",4.35081678346985,50.7896901067224,"[0.27,0.36]","[51,55)",3073.6813924
"439",34,1325,1,"6-10","Female","Petrol","Monthly","Private","No","No","MTPL","66-110",4.68001753043964,50.6870113397417,"[0.053,0.12)","[32,35)",3718.4028716
"460",34,6000,1,"0-1","Female","Petrol","Once","Private","No","No","MTPL+++","66-110",4.43835321997811,50.4167840517472,"[-0.065,-0.0057)","[32,35)",150.37221213
"462",40,6140,1,"2-5","Female","Gasoil","Thrice","Private","No","No","MTPL+","66-110",4.31208550779661,50.411670427455,"[-0.065,-0.0057)","[38,51)",185.96972228
"471",52,7060,1,"2-5","Female","Petrol","Twice","Private","No","No","MTPL+++","<66",4.03739807470075,50.5905348603939,"[-0.0057,0.053)","[51,55)",353.64490244
"479",59,8300,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL","66-110",3.31605733199446,51.3331355960939,"[-0.0057,0.053)","[59,63)",82.498965045
"481",36,8400,1,">10","Female","Gasoil","Once","Private","No","No","MTPL","<66",2.91536169402608,51.2099253319109,"[-0.12,-0.065)","[35,38)",756.39751214
"483",35,8620,1,"2-5","Female","Petrol","Once","Private","No","No","MTPL","66-110",2.75665762329837,51.1233706831434,"[-0.12,-0.065)","[35,38)",192.1174817
"492",26,9890,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL+++","<66",3.67531717162766,50.9289516399831,"[-0.0057,0.053)","[26,29)",1426.3793415
"518",57,1820,1,"2-5","Female","Gasoil","Monthly","Professional","No","No","MTPL+++","66-110",4.48867733997314,50.9210672236056,"[0.19,0.27)","[55,59)",61.874223783
"519",40,1930,2,">10","Female","Gasoil","Monthly","Private","No","No","MTPL","<66",4.47633267521075,50.8828444979588,"[0.27,0.36]","[38,51)",3144.0087853
"528",51,2000,1,">10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",4.38841775874899,51.2155085462307,"[-0.0057,0.053)","[51,55)",3021.8716457
"545",39,2640,1,"6-10","Female","Petrol","Monthly","Private","No","No","MTPL","66-110",4.4503374032385,51.1745794238531,"[-0.0057,0.053)","[38,51)",74.814265777
"546",45,2650,1,">10","Female","Gasoil","Once","Private","No","No","MTPL","<66",4.42247821890145,51.1562147668561,"[-0.0057,0.053)","[38,51)",68.691295715
"559",47,3140,1,"2-5","Female","Gasoil","Once","Private","No","No","MTPL+++","66-110",4.64370138657085,51.0050188259042,"[-0.065,-0.0057)","[38,51)",137.97753589
"563",38,3600,1,"6-10","Female","Gasoil","Thrice","Private","No","No","MTPL+++","<66",5.48452019267301,50.9671646493358,"[-0.065,-0.0057)","[38,51)",495.78704955
"567",52,3740,1,">10","Female","Gasoil","Thrice","Private","No","No","MTPL","<66",5.52192187240813,50.8719286447931,"[-0.0057,0.053)","[51,55)",485.7969405
"571",26,3980,2,">10","Female","Petrol","Monthly","Private","No","No","MTPL","66-110",5.05891128579109,51.0547376679966,"[-0.34,-0.24)","[26,29)",130.14410051
"582",59,4710,1,">10","Female","Petrol","Once","Private","No","No","MTPL+","66-110",5.98002621197578,50.6787415933158,"[0.053,0.12)","[59,63)",5501.5257846
"589",36,5140,1,"2-5","Female","Petrol","Thrice","Private","No","No","MTPL+++","66-110",4.59206796528594,50.526458362039,"[-0.0057,0.053)","[35,38)",1426.3793415
"602",45,6000,1,">10","Female","Petrol","Thrice","Private","No","No","MTPL","66-110",4.43835321997811,50.4167840517472,"[-0.065,-0.0057)","[38,51)",1426.3793415
"617",30,7160,1,">10","Female","Petrol","Twice","Private","No","No","MTPL","66-110",4.27688256058523,50.4617476224452,"[-0.0057,0.053)","[29,32)",209.96581548
"627",69,8000,1,"2-5","Female","Petrol","Once","Private","No","No","MTPL","66-110",3.20264974473026,51.2336589465689,"[-0.12,-0.065)","[63,73)",6445.2316441
"640",34,9000,1,">10","Female","Petrol","Once","Private","No","No","MTPL","66-110",3.70785832481243,51.058541399203,"[0.053,0.12)","[32,35)",1426.3793415
"642",27,9000,1,">10","Female","Petrol","Thrice","Private","No","No","MTPL","66-110",3.70785832481243,51.058541399203,"[0.053,0.12)","[26,29)",619.73381193
"644",34,9080,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL","<66",3.84674031053291,51.1029754726123,"[0.053,0.12)","[32,35)",247.89352477
"646",72,9400,1,"2-5","Female","Gasoil","Once","Private","No","No","MTPL","66-110",3.99206345364961,50.8234097337336,"[-0.0057,0.053)","[63,73)",65.096839605
"656",41,1000,1,"6-10","Female","Petrol","Monthly","Private","No","No","MTPL","66-110",4.35648860980085,50.8448425917282,"[0.27,0.36]","[38,51)",62.419589538
"661",27,1050,1,">10","Female","Petrol","Thrice","Private","No","No","MTPL","<66",4.36698754585594,50.8223371896674,"[0.27,0.36]","[26,29)",347.37319626
"662",55,1070,1,">10","Female","Gasoil","Once","Private","No","No","MTPL","<66",4.28236800836164,50.828966025416,"[0.27,0.36]","[55,59)",1491.0051835
"669",34,1150,1,">10","Female","Petrol","Monthly","Private","No","No","MTPL","<66",4.43225386872835,50.8312370315462,"[0.27,0.36]","[32,35)",1293.632359
"675",48,1180,1,"6-10","Female","Petrol","Twice","Private","No","No","MTPL","66-110",4.35081678346985,50.7896901067224,"[0.27,0.36]","[38,51)",1426.3793415
"721",70,1730,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL","66-110",4.19032767326706,50.9108267814895,"[0.12,0.19)","[63,73)",207.1398293
"728",36,1850,1,">10","Female","Petrol","Monthly","Private","No","No","MTPL","<66",4.37431869355624,50.9405750893572,"[0.19,0.27)","[35,38)",65.567837303
"729",50,1850,1,"2-5","Female","Petrol","Monthly","Private","No","No","MTPL","66-110",4.37431869355624,50.9405750893572,"[0.19,0.27)","[38,51)",396.25779935
"736",23,1970,1,">10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",4.48214982178839,50.8429942850942,"[0.27,0.36]","[17,26)",321.12127199
"739",45,2000,1,">10","Female","Gasoil","Monthly","Private","No","No","MTPL","<66",4.38841775874899,51.2155085462307,"[-0.0057,0.053)","[38,51)",68.567348952
"747",53,2000,1,"2-5","Female","Petrol","Once","Private","No","No","MTPL","66-110",4.38841775874899,51.2155085462307,"[-0.0057,0.053)","[51,55)",1133.840193
"768",37,2310,1,">10","Female","Gasoil","Monthly","Private","No","No","MTPL","<66",4.75697146936529,51.3549901509973,"[-0.065,-0.0057)","[35,38)",776.5512557
"780",57,2480,1,"6-10","Female","Petrol","Monthly","Private","No","No","MTPL","66-110",5.11197637491693,51.2415457705303,"[-0.34,-0.24)","[55,59)",1611.307911
"786",48,2590,1,">10","Female","Petrol","Twice","Private","No","No","MTPL","66-110",4.64523585541418,51.1072900722715,"[-0.12,-0.065)","[38,51)",719.16390472
"791",32,2640,2,"2-5","Female","Petrol","Thrice","Private","No","No","MTPL+","66-110",4.4503374032385,51.1745794238531,"[-0.0057,0.053)","[32,35)",300.74442425
"828",30,3040,1,"2-5","Female","Gasoil","Thrice","Private","No","No","MTPL","<66",4.60136384457108,50.789923103521,"[0.19,0.27)","[29,32)",1426.3793415
"846",38,3370,1,"2-5","Female","Gasoil","Once","Professional","No","No","MTPL+++","66-110",4.83210406021301,50.8351334933398,"[-0.12,-0.065)","[38,51)",3086.4974876
"855",34,3540,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL","<66",5.16710297923486,50.9371071969323,"[-0.24,-0.18)","[32,35)",904.43952514
"869",35,3740,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL+","<66",5.52192187240813,50.8719286447931,"[-0.0057,0.053)","[35,38)",1118.5203731
"872",50,3800,2,"6-10","Female","Gasoil","Thrice","Private","No","No","MTPL+","<66",5.20617046681723,50.8115935161719,"[-0.18,-0.12)","[38,51)",193.87752573
"878",74,4000,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL+","66-110",5.55794531964205,50.6472504606649,"[0.053,0.12)","[73,95]",515.42021671
"880",44,4000,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL+","<66",5.55794531964205,50.6472504606649,"[0.053,0.12)","[38,51)",130.78862367
"884",41,4000,1,"6-10","Female","Gasoil","Thrice","Private","No","No","MTPL","<66",5.55794531964205,50.6472504606649,"[0.053,0.12)","[38,51)",64.625841908
"887",50,4040,1,">10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",5.61386419163438,50.679463671463,"[0.12,0.19)","[38,51)",575.28650294
"921",43,4530,1,"2-5","Female","Gasoil","Thrice","Professional","No","No","MTPL+++","66-110",5.23206174011625,50.5934126941629,"[-0.12,-0.065)","[38,51)",1426.3793415
"928",30,4690,1,"2-5","Female","Gasoil","Monthly","Private","No","No","MTPL+","66-110",5.60004921966589,50.7656995387787,"[0.12,0.19)","[29,32)",95.984372792
"950",41,5000,1,"2-5","Female","Petrol","Once","Private","No","No","MTPL+","66-110",4.85945935698128,50.461444799665,"[-0.12,-0.065)","[38,51)",407477.63381
"962",45,5190,1,">10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",4.66580571859656,50.4717081306889,"[-0.065,-0.0057)","[38,51)",1426.3793415
"963",34,5300,1,">10","Female","Gasoil","Monthly","Private","No","No","MTPL","<66",5.04729088614995,50.4866658396914,"[-0.18,-0.12)","[32,35)",3222.6158221
"970",56,5340,1,">10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",5.04267821095487,50.4223877926585,"[-0.18,-0.12)","[55,59)",3162.2289594
"983",68,6000,1,">10","Female","Petrol","Once","Private","Yes","No","MTPL+","<66",4.43835321997811,50.4167840517472,"[-0.065,-0.0057)","[63,73)",145.01771199
"984",56,6000,1,"2-5","Female","Gasoil","Thrice","Private","No","No","MTPL+","66-110",4.43835321997811,50.4167840517472,"[-0.065,-0.0057)","[55,59)",150.37221213
"1008",41,6200,1,">10","Female","Petrol","Monthly","Private","No","No","MTPL","<66",4.51150406008508,50.3970732789273,"[-0.065,-0.0057)","[38,51)",74.665529662
"1023",75,6230,1,">10","Female","Gasoil","Once","Private","No","No","MTPL","<66",4.36210545981725,50.5142612259773,"[0.053,0.12)","[73,95]",644.52316441
"1043",46,6900,1,">10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",5.33301779302287,50.2092577832771,"[-0.24,-0.18)","[38,51)",64.625841908
"1050",50,7000,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL+","<66",3.95800977971852,50.4563515240065,"[-0.065,-0.0057)","[38,51)",143.03456379
"1061",48,7080,1,">10","Female","Gasoil","Monthly","Private","No","No","MTPL","<66",3.87599191979681,50.3900658888633,"[-0.065,-0.0057)","[38,51)",749.87791244
"1068",37,7100,1,"6-10","Female","Gasoil","Twice","Professional","No","No","MTPL+","<66",4.16727563811995,50.4673717065803,"[-0.065,-0.0057)","[35,38)",602.9018416
"1072",47,7140,1,">10","Female","Petrol","Twice","Private","No","No","MTPL","<66",4.22552539188468,50.4567075884769,"[-0.0057,0.053)","[38,51)",3051.6932367
"1087",58,7330,1,"6-10","Female","Petrol","Twice","Private","No","No","MTPL","66-110",3.80693473545538,50.4506486543216,"[-0.065,-0.0057)","[55,59)",145.01771199
"1092",21,7350,1,">10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",3.70332419362267,50.4358656171383,"[-0.065,-0.0057)","[17,26)",872.13899886
"1105",41,7500,1,">10","Female","Petrol","Twice","Private","No","No","MTPL","66-110",3.37706096524916,50.5919722599019,"[-0.24,-0.18)","[38,51)",1498.8881975
"1113",49,7640,1,"6-10","Female","Petrol","Twice","Private","No","No","MTPL+","66-110",3.46286858412375,50.5520353308708,"[-0.18,-0.12)","[38,51)",201.19038471
"1131",38,7860,1,"6-10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",3.81682341753955,50.7078824704401,"[-0.065,-0.0057)","[38,51)",1595.4923041
"1160",26,8540,1,">10","Female","Petrol","Twice","Private","No","No","MTPL","<66",3.35597756858514,50.8423941922759,"[-0.18,-0.12)","[26,29)",20203.322269
"1192",43,8940,1,"6-10","Female","Petrol","Once","Private","Yes","No","MTPL+","<66",3.04585739222739,50.8101748441778,"[-0.24,-0.18)","[38,51)",131.97851259
"1195",39,9000,1,"2-5","Female","Gasoil","Monthly","Professional","No","No","MTPL","66-110",3.70785832481243,51.058541399203,"[0.053,0.12)","[38,51)",74.839055129
"1202",30,9000,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL","<66",3.70785832481243,51.058541399203,"[0.053,0.12)","[29,32)",1426.3793415
"1205",25,9000,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL","<66",3.70785832481243,51.058541399203,"[0.053,0.12)","[17,26)",97.496523293
"1217",42,9200,1,">10","Female","Gasoil","Monthly","Private","No","No","MTPL","<66",4.08039015031784,51.0276768601604,"[-0.0057,0.053)","[38,51)",987.53343464
"1240",40,9700,1,"2-5","Female","Gasoil","Monthly","Private","No","No","MTPL+++","66-110",3.61035272684765,50.8533089804963,"[-0.065,-0.0057)","[38,51)",518.89072606
"1243",49,9790,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL","<66",3.51729846143874,50.8483597605989,"[-0.12,-0.065)","[38,51)",64.625841908
"1245",32,9800,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL","<66",3.50541822832801,50.9902838210181,"[-0.065,-0.0057)","[32,35)",1630.8171314
"1255",42,9890,1,"2-5","Female","Petrol","Once","Professional","Yes","No","MTPL","66-110",3.67531717162766,50.9289516399831,"[-0.0057,0.053)","[38,51)",6705.4702664
"1266",26,1050,1,">10","Female","Petrol","Monthly","Private","No","No","MTPL","66-110",4.36698754585594,50.8223371896674,"[0.27,0.36]","[26,29)",1874.967464
"1287",30,1330,1,">10","Female","Petrol","Twice","Private","No","No","MTPL+++","<66",4.51746233041553,50.7122715645053,"[0.27,0.36]","[29,32)",64.625841908
"1297",40,1640,1,"2-5","Female","Gasoil","Monthly","Private","No","No","MTPL+++","<66",4.36279820605473,50.7444170449262,"[0.27,0.36]","[38,51)",735.72319217
"1314",45,2000,1,"2-5","Female","Petrol","Monthly","Private","No","No","MTPL+++","<66",4.38841775874899,51.2155085462307,"[-0.0057,0.053)","[38,51)",70.376971683
"1321",39,2220,1,"6-10","Female","Petrol","Once","Professional","No","No","MTPL+",">110",4.71751524496154,51.0672507729471,"[-0.18,-0.12)","[38,51)",744.25072943
"1337",60,2800,1,"2-5","Female","Petrol","Thrice","Private","No","No","MTPL","<66",4.454124308395,51.0351939813162,"[0.053,0.12)","[59,63)",1426.3793415
"1338",69,2800,1,"2-5","Female","Petrol","Once","Private","No","No","MTPL","66-110",4.454124308395,51.0351939813162,"[0.053,0.12)","[63,73)",1426.3793415
"1391",41,3950,1,">10","Female","Petrol","Once","Private","No","No","MTPL",">110",5.55327588869353,51.1869071050928,"[-0.24,-0.18)","[38,51)",67.079987804
"1429",76,5030,1,">10","Female","Petrol","Twice","Private","No","No","MTPL","<66",4.69509311658802,50.5669269720829,"[-0.0057,0.053)","[73,95]",201.19038471
"1441",43,6000,1,"0-1","Female","Gasoil","Twice","Private","No","No","MTPL","<66",4.43835321997811,50.4167840517472,"[-0.065,-0.0057)","[38,51)",1093.5079165
"1443",50,6000,1,">10","Female","Gasoil","Thrice","Private","No","No","MTPL","<66",4.43835321997811,50.4167840517472,"[-0.065,-0.0057)","[38,51)",1133.5675101
"1449",74,6180,1,"2-5","Female","Petrol","Twice","Private","No","No","MTPL+","<66",4.36150364307995,50.4614537257167,"[-0.0057,0.053)","[73,95]",6997.6871534
"1452",39,6240,1,">10","Female","Petrol","Twice","Private","No","Yes","MTPL","66-110",4.53635372111408,50.4343390632785,"[-0.065,-0.0057)","[38,51)",371.84028716
"1454",43,6600,1,"2-5","Female","Petrol","Once","Professional","No","No","MTPL+++","66-110",5.75066349453559,50.0158679703908,"[-0.34,-0.24)","[38,51)",3123.731095
"1477",46,7080,1,">10","Female","Petrol","Monthly","Private","No","No","MTPL","66-110",3.87599191979681,50.3900658888633,"[-0.065,-0.0057)","[38,51)",65.44389054
"1478",49,7080,1,"2-5","Female","Petrol","Twice","Private","No","No","MTPL","66-110",3.87599191979681,50.3900658888633,"[-0.065,-0.0057)","[38,51)",201.06643794
"1487",27,7160,1,"0-1","Female","Petrol","Twice","Private","No","No","MTPL+","66-110",4.27688256058523,50.4617476224452,"[-0.0057,0.053)","[26,29)",1882.5034271
"1488",32,7300,1,"2-5","Female","Petrol","Once","Private","No","No","MTPL+","<66",3.77824646658229,50.4290656311582,"[-0.065,-0.0057)","[32,35)",237.58115414
"1489",77,7330,1,"0-1","Female","Petrol","Twice","Private","No","No","MTPL+++","<66",3.80693473545538,50.4506486543216,"[-0.065,-0.0057)","[73,95]",1426.3793415
"1531",44,8530,1,"2-5","Female","Petrol","Twice","Private","No","No","MTPL","<66",3.3071333774784,50.8433710332607,"[-0.24,-0.18)","[38,51)",1381.8080858
"1535",44,8540,1,"2-5","Female","Petrol","Monthly","Private","No","No","MTPL+++","66-110",3.35597756858514,50.8423941922759,"[-0.18,-0.12)","[38,51)",2223.9271788
"1538",24,8580,1,">10","Female","Petrol","Once","Private","No","No","MTPL","<66",3.43773620133127,50.7776148252496,"[-0.18,-0.12)","[17,26)",2602.8820101
"1540",33,8620,1,"2-5","Female","Petrol","Twice","Private","No","No","MTPL+","<66",2.75665762329837,51.1233706831434,"[-0.12,-0.065)","[32,35)",309.76774856
"1548",22,8870,1,"2-5","Female","Petrol","Once","Private","No","No","MTPL","<66",3.19543456767044,50.9218852605943,"[-0.24,-0.18)","[17,26)",66.286728524
"1549",23,8900,1,"2-5","Female","Petrol","Thrice","Private","No","No","MTPL+++","66-110",2.86091788266597,50.8496370773334,"[-0.18,-0.12)","[17,26)",718.12275192
"1551",69,8930,1,">10","Female","Petrol","Twice","Private","No","No","MTPL","<66",3.1440406490295,50.7925066548079,"[-0.24,-0.18)","[63,73)",402.2320333
"1561",42,9000,1,">10","Female","Petrol","Once","Private","No","Yes","MTPL","<66",3.70785832481243,51.058541399203,"[0.053,0.12)","[38,51)",1265.7939162
"1567",35,9000,1,"0-1","Female","Petrol","Once","Private","No","No","MTPL+","66-110",3.70785832481243,51.058541399203,"[0.053,0.12)","[35,38)",71.393335135
"1573",35,9220,1,"0-1","Female","Petrol","Once","Private","No","No","MTPL","66-110",4.12891471974454,51.0782073532139,"[-0.0057,0.053)","[35,38)",6964.4446317
"1578",22,9400,1,"2-5","Female","Petrol","Twice","Private","No","No","MTPL","<66",3.99206345364961,50.8234097337336,"[-0.0057,0.053)","[17,26)",56.693249116
"1579",66,9420,1,"0-1","Female","Petrol","Once","Private","No","No","MTPL+","<66",3.9413774171549,50.9216124752921,"[-0.0057,0.053)","[63,73)",150.37221213
"1580",39,9420,1,">10","Female","Petrol","Once","Private","No","No","MTPL","<66",3.9413774171549,50.9216124752921,"[-0.0057,0.053)","[38,51)",1983.1234088
"1587",24,9600,1,"6-10","Female","Petrol","Once","Private","No","Yes","MTPL","66-110",3.59684986083487,50.7496567004369,"[-0.12,-0.065)","[17,26)",224.21969316
"1605",79,1400,1,">10","Female","Petrol","Twice","Private","No","No","MTPL",">110",4.31374235131719,50.591511802916,"[0.12,0.19)","[73,95]",268.76615956
"1609",31,2160,1,"2-5","Female","Petrol","Thrice","Private","No","No","MTPL+++","66-110",4.50852407082926,51.2065256193104,"[-0.0057,0.053)","[29,32)",2852.9074192
"1612",33,2800,1,"2-5","Female","Petrol","Twice","Private","No","No","MTPL+++","66-110",4.454124308395,51.0351939813162,"[0.053,0.12)","[32,35)",1426.3793415
